Update Timestamp,Acres Burned (Size),Containment Percent,Total Personnel
02/10/2025 3:46 PM,23448,95,800
02/07/2025 12:57 PM,23448,95,800
02/05/2025 8:31 AM,23448,95,800
02/05/2025 8:00 AM,23448,95,800
02/04/2025 11:06 AM,23448,95,800
02/04/2025 10:05 AM,23448,95,800
02/04/2025 10:01 AM,23448,95,800
02/04/2025 7:40 AM,23448,95,800
02/03/2025 2:03 PM,23448,95,800
01/30/2025 5:35 PM,23448,95,800
01/28/2025 9:29 AM,23448,95,800
01/28/2025 8:22 AM,23448,95,800
01/27/2025 5:22 PM,23448,95,800
01/27/2025 3:54 PM,23448,90,1043
01/27/2025 1:00 PM,23448,90,1043
01/27/2025 12:56 PM,23448,90,1043
01/27/2025 12:55 PM,23448,90,1043
01/27/2025 12:50 PM,23448,90,1043
01/26/2025 5:35 PM,23448,90,1043
01/26/2025 3:51 PM,23448,84,1859
01/26/2025 1:25 PM,23448,84,1859
01/26/2025 10:48 AM,23448,84,1859
01/26/2025 9:28 AM,23448,84,1859
01/26/2025 9:08 AM,23448,84,1859
01/25/2025 6:17 PM,23448,84,1859
01/25/2025 5:46 PM,23448,79,2149
01/25/2025 2:32 PM,23448,79,2149
01/25/2025 2:30 PM,23448,79,2149
01/25/2025 8:38 AM,23448,79,2149
01/24/2025 6:13 PM,23448,79,2149
01/24/2025 12:26 PM,23448,77,2420
01/24/2025 6:24 AM,23448,77,2420
01/23/2025 8:08 PM,23448,75,2420
01/23/2025 7:03 PM,23448,75,2420
01/23/2025 3:18 PM,23448,72,3274
01/23/2025 2:25 PM,23448,72,3274
01/23/2025 10:50 AM,23448,72,3274
01/23/2025 8:32 AM,23448,72,3274
01/23/2025 6:28 AM,23448,72,3274
01/22/2025 6:32 PM,23448,70,3274
01/22/2025 4:15 PM,23448,68,4237
01/22/2025 2:34 PM,23448,68,4237
01/22/2025 8:51 AM,23448,68,4237
01/22/2025 6:23 AM,23448,68,4237
01/21/2025 6:32 PM,23448,65,4335
01/21/2025 2:18 PM,23713,63,5337
01/21/2025 2:13 PM,23713,63,5337
01/21/2025 12:50 PM,23713,63,5337
01/21/2025 12:29 PM,23713,63,5337
01/21/2025 12:08 PM,23713,63,5337
01/21/2025 11:19 AM,23713,63,5337
01/21/2025 11:15 AM,23713,63,5337
01/21/2025 6:47 AM,23713,63,5337
01/21/2025 6:26 AM,23713,63,5337
01/21/2025 6:23 AM,23713,63,5337
